
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Leopoldlaan 89,Appartement,,275000,,,,,0,,,,,,,,0,
 Rue Saint-Nicolas 221,Maison,,275000,,,,,0,,,,1, 0.96 are, 1.8 are,,0, Rénové
 Albert I laan 75b,Appartement,,275000,,,,,0,,,,,, 0.63 are,,0, Bien neuf
 Stokstraat 9 - 11,Maison,,275000,,,,,0,,,,,, 5.95 ares,,0, Besoin de travaux
 Albrecht Rodenbachstraat 28,Maison,,276000,,,,,0,,,,,, 1.98 are,,0, Bien neuf
 Rue du Hangar,Maison,,276800,,,,,0,,,,,, 3.69 ares,,0, Bien neuf
 Rue des Tulipes,Maison,,277000,,,,,0,,,,,, 5.57 ares,,0, Bien neuf
 Zeedijk-Heist 166,Appartement,,279000,,1,,,0,,,,,, 0.47 are,,0,
 Leopold Decouxlaan 18,Immeuble,,279000,,,,,0,,,,,, 1.7 are,,0,
 Lotissement du Bois des Rois 123,Maison,,280000,,,,,0,,,,1, 15 ares, 25.23 ares,,0,
 Boomlaarstraat 182,Maison,,280000,,,,,0,,,,,,,,0,
,Appartement,,280000,,,,,,,,,,,,,0,
 Rue du Hangar,Maison,,281600,,,,,0,,,,,, 1.98 are,,0, Bien neuf
 Steenweg 90,Duplex,,282000,,,,,0,,,,,,,,0,
 Rue du Hangar,Maison,,282700,,,,,0,,,,,, 1.89 are,,0, Bien neuf
 Rue de Vinalmont,Maison,,284000,,,,,0,,,,1, 7.07 ares, 7.93 ares,,0, Bien neuf
 Rue du Hangar,Maison,,284900,,,,,0,,,,,, 1.98 are,,0, Bien neuf
,Appartement,,285000,,,,,0,,,,,,,,0,
 Kapel ter Rustestraat 28,Duplex,,285000,,,,,0,,,,,,,,0, Bien neuf
,Immeuble,,285000,,,,,,,,,,,,,0,
 Rue de Villemont,Maison,,287500,,,,,0,,,,,, 5.16 ares,,0, Bien neuf
 Rue de Villemont,Maison,,288800,,,,,0,,,,,, 5.36 ares,,0, Bien neuf
,Appartement,,289000,,,,,0,,,,,,,,0,
,Appartement,,289500,,1,,,0,,,,,,,,0,
 De Bruynlaan 104,Appartement,,290000,,,,,0,,,,,, 1.21 are,,0, Bien neuf
 Rue du Stade Lot 57,Maison,,290100,,,,,0,,,,,, 8.5 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,292200,,,,,0,,,,,, 3.29 ares,,0, Bien neuf
 Rue de Villemont,Maison,,292700,,,,,0,,,,,, 6.7 ares,,0, Bien neuf
,Appartement,,294100,,,,,0,,,,,,,,0, Bien neuf
 Coquilhatstraat 49A,Rez-de-chaussée,,295000,,1,,,0,,,,,,,,0,
 Kaplotestraat 56,Maison,,295000,,,,,0,,,,,, 4.5 ares,,0, Bien neuf
,Maison,,295000,,,,,,,,,,, 1.84 are,,0,
,Maison,,295000,,,,,,,,,,, 2.4 ares,,0,
 Galerie du Commerce 6,Appartement,,295000,,,,,0,,,,,,,,0,
 Veldstraat 23,Maison,,295000,,,,,0,,,,1, 0.8 are, 2.3 ares,,0, Rénové
 Rue de la Botte d'asperges,Maison,,295100,,,,,0,,,,,, 4.16 ares,,0, Bien neuf
